Crop_Variety,Country,Locations
Arrowroot_Taro,Kenya,"Kangundo, Muranga, Nyeri"
Arrowroot_Taro,Uganda,"Mityana, Jinja"
Arrowroot_Taro,Tanzania,"Kilimanjaro, Mbeya"
Kale_Dwarf Green Curled,Kenya,"Kiambu, Nyandarua, Kericho"
Kale_Dwarf Green Curled,Uganda,"Kabale, Fort Portal"
Kale_Dwarf Green Curled,Tanzania,"Arusha, Iringa"
Spinach_Catalina,Kenya,"Nairobi, Limuru, Eldoret"
Spinach_Catalina,Uganda,"Wakiso, Mbale"
Spinach_Catalina,Tanzania,"Moshi, Tanga"
Mangoes_Apple Mango,Kenya,"Makueni, Machakos, Taita Taveta"
Mangoes_Apple Mango,Uganda,"Masaka, Luwero"
Mangoes_Apple Mango,Tanzania,"Morogoro, Dodoma"
Butternut Squash_Honeynut,Kenya,"Naivasha, Laikipia, Kitui"
Butternut Squash_Honeynut,Uganda,"Nakasongola, Soroti"
Butternut Squash_Honeynut,Tanzania,"Singida, Manyara"
Cabbage_Gloria F1,Kenya,"Timboroa, Meru, Nyeri"
Cabbage_Gloria F1,Uganda,"Kabale, Fort Portal"
Cabbage_Gloria F1,Tanzania,"Arusha, Njombe"
Beans_Rosecoco,Kenya,"Bungoma, Trans-Nzoia, Kisii"
Beans_Rosecoco,Uganda,"Masindi, Mbale"
Beans_Rosecoco,Tanzania,"Kagera, Mbeya"
Cucumber_Marketmore 76,Kenya,"Thika, Kirinyaga, Meru"
Cucumber_Marketmore 76,Uganda,"Mukono, Jinja"
Cucumber_Marketmore 76,Tanzania,"Moshi, Morogoro"
Groundnuts_JL24,Kenya,"Busia, Siaya, Makueni"
Groundnuts_JL24,Uganda,"Lira, Soroti"
Groundnuts_JL24,Tanzania,"Shinyanga, Tabora"
Bananas_Grand Nain,Kenya,"Kisii, Meru, Murang�a"
Bananas_Grand Nain,Uganda,"Mbarara, Masaka"
Bananas_Grand Nain,Tanzania,"Kagera, Mbeya"
Carrot_Royal Chantenay,Kenya,"Timboroa, Narok, Kinangop"
Carrot_Royal Chantenay,Uganda,"Kabale, Kigezi"
Carrot_Royal Chantenay,Tanzania,"Iringa, Njombe"
Pumpkins_Cinderella,Kenya,"Kajiado, Makueni, Laikipia"
Pumpkins_Cinderella,Uganda,"Gulu, Lira"
Pumpkins_Cinderella,Tanzania,"Dodoma, Tabora"
Pigeon Peas_ICEAP 00557,Kenya,"Kitui, Makueni, Machakos"
Pigeon Peas_ICEAP 00557,Uganda,"Karamoja, Soroti"
Pigeon Peas_ICEAP 00557,Tanzania,"Dodoma, Singida"
